# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
50100 100
73 3.48 0.132679 2.3125 0.0932896 5.94375 1.18167 8.29375
74 3.528 0.258186 2.3375 0.121025 5.96875 1.14973 8.76875
75 3.576 0 2.3375 0.0883481 5.9875 1.56082 9.43125
76 3.624 0 2.3375 0.0573488 6 1.54842 10.1062
77 3.672 0 2.3375 0.0558593 6.0125 1.36855 10.7188
78 3.72 0 2.3375 0.163281 6.05 1.12936 11.2375
79 3.768 0.226344 2.3625 0.371345 6.1375 1.27318 11.8375
80 3.816 0 2.3625 0.3362 6.21875 1.15084 12.3938
81 3.864 0.107618 2.375 0.731468 6.4 0.769303 12.775
82 3.912 0 2.375 1.10735 6.68125 0.713629 13.1375
83 3.96 0 2.375 1.48893 7.06875 0.456284 13.375
84 4.008 0 2.375 1.59414 7.49375 0.492307 13.6375
85 4.056 0 2.375 1.78555 7.98125 0.274699 13.7875
86 4.104 0 2.375 1.85582 8.5 0.380108 14
87 4.152 0 2.375 1.98792 9.06875 0.491519 14.2812
88 4.2 0 2.375 1.77195 9.5875 0.672488 14.675
89 4.248 0 2.375 1.73214 10.1062 0.897371 15.2125
90 4.296 0 2.375 1.30594 10.5062 1.09169 15.8812
91 4.344 0 2.375 1.33711 10.925 1.50675 16.825
92 4.392 0 2.375 0.7614 11.1687 1.94255 18.0688
93 4.44 0 2.375 0.725923 11.4062 1.91988 19.325
94 4.488 0 2.375 0.41133 11.5437 2.14078 20.7563
95 4.536 0.156187 2.4 0.549096 11.7312 2.71803 22.6125
96 4.584 0.305867 2.45 0.322594 11.8438 2.51803 24.3687
97 4.632 0.374451 2.5125 0.596781 12.0563 2.52755 26.1687
98 4.68 0.440171 2.5875 0.53302 12.25 2.56194 28.0312
99 4.728 1.36572 2.825 0.707568 12.5125 2.18167 29.65
100 4.776 0.845308 2.975 0.825496 12.825 2.00596 31.1687
50600 100
1 0.024 0 0 0 0 0 0
2 0.072 0 0 0 0 0 0
3 0.12 0 0 0 0 0 0
4 0.168 0 0 0 0 0 0
