# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0.00203814 0.00045
38 0.9375 0.0502031 0.01215
39 0.9625 0.285979 0.0824
40 0.9875 0.853529 0.3031
41 1.0125 1.69333 0.7634
42 1.0375 2.43466 1.4583
43 1.0625 2.88819 2.32285
44 1.0875 3.00199 3.26425
45 1.1125 2.87378 4.20735
46 1.1375 2.60457 5.10095
47 1.1625 2.23855 5.9031
48 1.1875 1.95848 6.6354
49 1.2125 1.69578 7.29645
50 1.2375 1.42478 7.875
51 1.2625 1.27392 8.4134
52 1.2875 1.09536 8.89485
53 1.3125 0.96613 9.33615
54 1.3375 0.873641 9.75055
55 1.3625 0.788141 10.1385
56 1.3875 0.737272 10.5148
57 1.4125 0.687399 10.8785
58 1.4375 0.649553 11.2344
59 1.4625 0.615458 11.5835
60 1.4875 0.590173 11.9297
61 1.5125 0.583848 12.2839
62 1.5375 0.565016 12.638
63 1.5625 0.577358 13.0118
64 1.5875 0.58371 13.4018
65 1.6125 0.603391 13.8178
66 1.6375 0.623364 14.261
67 1.6625 0.644466 14.7333
68 1.6875 0.679349 15.2462
69 1.7125 0.722866 15.8084
70 1.7375 0.776983 16.4303
71 1.7625 0.826304 17.1109
72 1.7875 0.882673 17.8587
73 1.8125 0.941436 18.6788
74 1.8375 0.99988 19.5739
75 1.8625 1.06351 20.5521
76 1.8875 1.1137 21.6042
77 1.9125 1.14139 22.7111
78 1.9375 1.15793 23.8636
79 1.9625 1.20926 25.0985
80 1.9875 1.23842 26.3956
81 2.0125 1.25258 27.7408
82 2.0375 1.28077 29.1506
83 2.0625 1.28036 30.5947
84 2.0875 1.29471 32.0907
85 2.1125 1.27109 33.5947
86 2.1375 1.24843 35.1071
87 2.1625 1.22489 36.6259
88 2.1875 1.18618 38.131
89 2.2125 1.14646 39.619
90 2.2375 1.10374 41.0842
91 2.2625 1.06087 42.524
92 2.2875 1.02224 43.9424
93 2.3125 0.983547 45.3369
94 2.3375 0.941051 46.7003
95 2.3625 0.909078 48.0457
96 2.3875 0.888882 49.3891
97 2.4125 0.862164 50.7196
98 2.4375 0.84349 52.0484
99 2.4625 0.831239 53.3849
100 2.4875 0.825952 54.74
10000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
